Arquivo,Tela,ID,Nome,Descrição,Pré-condições,Resultado na tela,Como testar
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-001,Carregar créditos,Página da pessoa.,ID válido.,"Nome, foto, biografia e filmografia carregam.",Abrir ator conhecido.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-002,Erro e loading,ID inválido ou falha.,Pessoa inexistente.,Mensagem de erro ou texto de carregamento.,URL com id inválido.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-003,Perfil resumido,Dados básicos.,Pessoa com foto e bio longa.,"Nome, foto, biografia truncada (~6 linhas).",Bio longa → “ver mais” se existir ou clamp.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-004,Filmografia,Grid de obras.,Créditos filmes e séries.,Cards clicáveis; personagem opcional exibido.,Clicar filme vs série.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-005,Abrir detalhe da obra,Clique na filmografia.,Item listado.,Modal de detalhe abre para filme ou série.,Clicar poster na grid.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-006,Voltar para busca,Veio da busca global.,Fluxo busca → pessoa.,Voltar reabre busca quando aplicável.,RN-HEADER-021 / RN-BUSCA-021.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-007,Voltar para modal,Veio do elenco de filme/série.,Retorno guardado pelo site.,Voltar reabre modal do filme/série anterior.,Filme → elenco → voltar.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PERS-008,Voltar genérico,Sem contexto salvo.,Entrada direta na URL.,Botão voltar do browser ou fallback para home.,Abrir pessoa em nova aba → voltar.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-001,Modo destaque inicial,Filtros no padrão “todos”.,Primeira visita à página.,Blocos com destaques da **última edição** por categoria.,Abrir prêmios sem mexer filtros.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-002,Modo filtrado,Qualquer filtro alterado.,"Tipo, prêmio ou ano ≠ todos.",Lista paginada (48 itens por página) substitui visão de destaques.,Escolher ano específico.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-003,Opções de filtro,Carregamento da página.,Página montada.,Listas de nomes de prêmios e anos disponíveis nos seletores.,Abrir dropdowns de filtro.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-004,Reset de página,Mudança de filtro.,Estava na página 2+.,Volta para página 1 ao alterar filtro.,Paginar → mudar ano.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-005,Seções por tipo,Modo destaque.,Filtro tipo = todos.,"Até quatro blocos: filmes, séries, animes, jogos; filtrar tipo reduz a um bloco.",Filtrar só animes.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-006,Ver todos da premiação,Botão em destaque.,Card de destaque visível.,Aplica filtros com nome/ano daquele prêmio e tipo da seção.,Clicar “ver todos” em um destaque.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-007,Paginação,Modo filtrado.,Muitos resultados.,Anterior/próxima desabilitadas nos limites; texto “Página X de Y”.,Navegar páginas.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-008,Cards interativos,Obras indicadas.,Logado/anônimo.,Cards com mesmas ações de favorito/lista das outras páginas.,Favoritar indicado logado.
12-OUTRAS-TELAS.md,"páginas de descoberta e créditos acessadas pelo menu — **Continuações**, **Premiações**, **Eventos**, **Pessoa**, **Dublador** e **Desenvolvedora** — além de abas de continuação dentro do modal de filme/série.",RN-PREM-009,Nenhum resultado,Filtro impossível.,Zero prêmios no critério.,Mensagem pedindo ajustar filtros.,Ano + prêmio sem combinação.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-001,Aba pela URL,Endereço define aba inicial.,"`/promocoes`, `/promocoes?tab=promocoes`, `/promocoes?tab=em-alta`.",Padrão **Jogos de Graça**; `promocoes` → aba Promoções; `em-alta` → Em Alta.,Abrir cada URL.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-002,Shell da página,"Estrutura (hero, abas) aparece mesmo antes das ofertas terminarem de carregar.",Primeira visita.,Layout visível; conteúdo das abas grátis/promo preenche depois.,Abrir Promoções com rede lenta.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-003,Três abas,"Grátis, Promoções, Em Alta com ícones distintos.",Página carregada.,Alternar abas muda conteúdo principal.,Clicar cada aba.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-004,Em Alta sem ofertas de loja,Aba **Em Alta** não carrega jogos grátis/promoções de lojas externas.,Aba **Em Alta** ativa.,Só blocos de jogos em alta; sem skeleton de 12 cards de deal (salvo loading interno de Em Alta).,Abrir Em Alta; observar ausência de grids de oferta.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-005,Carregar sob demanda,Cada aba de ofertas busca dados na **primeira** vez que o usuário entra nela.,Abrir direto em Promoções sem passar por Grátis.,Promoções carrega ao selecionar aba; Grátis pode não ter sido buscado ainda.,Entrar direto `?tab=promocoes`.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-006,Várias lojas — grátis,"Jogos de graça agregam Epic, giveaways, Steam, itch.io, etc.",Aba Grátis carregada.,Cards de lojas diferentes; rodapé lista fontes com contagem.,Ler rodapé após load.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-007,Várias lojas — promo pagas,Promoções pagas combinam várias lojas; ordem padrão prioriza “melhor deal”.,Aba Promoções.,Ofertas misturadas; ordenação **Popularidade** por padrão.,Abrir aba Promoções.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-008,Catálogo Orbe na Steam,Jogos já catalogados no site com desconto na Steam aparecem em faixa dedicada.,Jogos Orbe em promo Steam.,Seção **Promoções na Steam (catálogo)** com carrossel horizontal.,Aba Promoções com catálogo populado.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-009,Atualização periódica,Ofertas são atualizadas em intervalo curto; botão **Atualizar agora** força nova busca.,Aba grátis ou promo.,Horário **Última atualização** muda após atualizar.,Clicar **Atualizar agora** duas vezes.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-010,Alerta de fontes indisponíveis,"Se alguma loja falhar, banner âmbar ou vermelho avisa que a lista pode estar incompleta.",Fonte externa down no ambiente.,Banner listando lojas com falha.,Simular/induzir falha de fonte.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-011,Sem detalhes técnicos internos,"Usuário não vê metadados de diagnóstico — só ofertas, contadores e alertas amigáveis.",Qualquer aba de oferta.,Nenhum painel “debug” na interface.,Inspecionar UI.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-012,Conteúdo da aba Grátis,"Temporários, permanentes e lista unificada para contagem.",Grátis carregado.,Seções **Estão de graça** e **São de graça**; chips de plataforma.,Percorrer aba Grátis.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-013,Paginação de promoções pagas,Primeira leva ~48 ofertas; **Carregar mais** traz o restante quando existir.,Muitas promoções ao vivo.,Botão **Carregar mais promoções** aumenta grid.,Clicar até sumir botão.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-014,Preços em reais,"Quando aplicável, valores convertidos; rodapé pode mostrar taxa USD/BRL e hora da cotação.",Ofertas em dólar.,Preço BRL nos cards; linha USD/BRL no rodapé.,Ler rodapé e cards.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-015,Temporário vs permanente,**Estão de graça** = promo 100% por tempo limitado; **São de graça** = F2P ou sempre zero.,Deals de ambos tipos.,Duas seções com textos explicativos diferentes.,Ler subtítulos das seções.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-016,Ordenação padrão grátis,Temporários por **Acaba primeiro**; permanentes por título quando essa ordenação não se aplica.,Aba Grátis.,Select de ordenação; mudar reordena temporários.,Trocar ordenação.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-017,Filtro por plataforma/loja,Chips só aparecem para lojas que têm oferta no momento; filtro ativo some se a loja deixar de ter itens.,Filtrar e atualizar.,Chip some ou volta para **Todas**.,Filtrar Steam; atualizar se vazio.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-018,Busca por título,"Campo **Buscar jogo...** filtra temporários, permanentes e destaques (case insensitive).",Texto parcial do título.,Grid reduzido.,Buscar substring.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-019,Destaques itch.io e EA App,"Com filtro **Todas** e sem busca, ofertas itch.io e EA App podem aparecer em seções colapsáveis próprias, removidas do bloco principal para não duplicar.",Deals nessas lojas.,Seções **Grátis na itch.io** / **Grátis na EA** (ou equivalente).,Confirmar que itch não repete no grid principal.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-020,Agrupamento por loja,"Com **Todas** plataformas, lista principal agrupa subtítulos por loja (uppercase).",Várias lojas.,"Subtítulos EPIC, STEAM, etc., cada um com grid.",Ver aba Grátis com muitas fontes.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-021,Contador na aba Grátis,Número ao lado do nome da aba reflete ofertas grátis **após** filtro de plataforma e busca.,Busca ativa.,Badge diminui.,Buscar título raro.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-022,Vazio grátis,Sem temporários ou sem permanentes.,Lista filtrada vazia.,Mensagens específicas por seção.,Filtrar loja sem giveaways.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-023,Ordenação padrão promo,**Popularidade** (melhor avaliação de deal).,Aba Promoções.,Trocar para **Maior desconto** reordena grid.,Usar select de ordenação.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-024,Faixa catálogo Steam,Carrossel no topo quando há jogos do catálogo Orbe em desconto na Steam.,Pelo menos um jogo Orbe em promo na Steam.,Seção com link **Ver aba Em Alta →**.,Abrir Promoções com catálogo em promo.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-025,Carregar mais,"Botão só com filtro **Todas**, sem busca, e quando ainda há páginas.",>48 promoções.,**Carregar mais promoções** append cards; com busca o botão some.,Buscar título → botão ausente.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-026,Contador aba Promoções,Badge = ofertas ao vivo filtradas + itens do carrossel catálogo Steam filtrados.,Filtro plataforma.,Número atualiza.,Filtrar Epic.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-027,Wishlist Steam (em breve),"Caixa tracejada informativa, **sem** botão funcional de login Steam.",Aba Promoções visível.,Texto **Lista de desejos Steam (em breve)**.,Ler bloco no topo da aba.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-028,Em Alta embutido,"Mesmo conteúdo de jogos em alta (Top da Semana, Steam, plataformas…) em modo compacto + banner para promoções.",Tab `em-alta`.,Ver regras RN-JOGOS-019–029 em `05-JOGOS.md`.,Abrir aba Em Alta.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-029,Bookmark antigo,`/jogos-em-alta` redireciona para esta aba.,URL legada.,Endereço final `?tab=em-alta`.,Acessar URL antiga.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-030,Atualizar agora,Recarrega aba ativa **Grátis** ou **Promoções**; **Em Alta** não usa este botão para ofertas de loja.,Botão no hero.,Spinner no ícone; horário atualiza (abas de deal).,Clicar em Grátis vs Em Alta.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-031,Erro global de ofertas,Falha ao buscar grátis/promo.,Indisponibilidade.,**Não foi possível carregar promoções e jogos grátis.** + **Tentar novamente**.,Simular falha.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-032,Skeleton inicial,Primeira carga de Grátis/Promo mostra 12 placeholders shimmer.,"Rede lenta, aba ≠ Em Alta.",Skeleton antes dos cards reais.,Throttle + abrir Promoções.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-033,Banner de degradação,Mesmo RN-PROMO-010 — lista fontes com falha.,Fontes parciais down.,Banner âmbar/vermelho.,Ambiente degradado.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-034,Rodapé de fontes,Contagens por loja com cor verde (ok) ou vermelho (erro).,Após load grátis/promo.,"Linha **Fontes:** Epic (n), Steam (n)…",Comparar com quantidade visível.
06-PROMOCOES.md,"página **Promoções & Jogos Grátis** (`/promocoes`), com três abas: **Jogos de Graça**, **Promoções** e **Em Alta**. O parâmetro de endereço `?tab=promocoes` ou `?tab=em-alta` escolhe a aba inicial; sem parâmetro ou valor inválido abre **Jogos de Graça**.",RN-PROMO-035,Tamanho da primeira página promo,Primeira leva de **Ofertas ao vivo** alinhada a ~48 itens antes de **Carregar mais**.,Muitas ofertas.,Grid inicial ~48; botão carrega resto.,Contar antes de carregar mais.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-001,Conteúdo na primeira abertura,Listagem e opções de filtro já vêm na abertura da página.,Site acessível; catálogo com séries.,Grade e selects visíveis (ou vazio amigável).,Abrir Séries em aba nova.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-002,Atualização gradual,Mudanças no catálogo podem demorar alguns minutos para refletir após atualização em massa.,Catálogo alterado recentemente.,Recarregar após alguns minutos pode mostrar novidades.,Alterar série de teste; aguardar; recarregar.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-003,Falha no carregamento inicial,Indisponibilidade temporária não quebra a rota.,Catálogo indisponível na abertura.,Página abre; grade vazia; filtros vazios possíveis.,Simular falha na abertura.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-004,Texto do cabeçalho,Copy fixa da área.,Usuário em Séries.,Título **Séries** e descrição sobre universo de séries.,Ler cabeçalho.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-005,Gaveta O que vem aí,Estreias futuras de séries em carrossel horizontal.,Resumo de eventos com séries em **próximos**.,Seção **O que vem aí** acima dos filtros.,Ambiente com séries futuras.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-006,Sem gaveta Em cartaz,"Diferente da página Filmes, **não** há bloco **Em cartaz** para séries.",Destaques recentes de séries existem no resumo.,Bloco **Em cartaz** **ausente**; só **O que vem aí** + filtros + grade.,Abrir Séries com dados de destaque.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-007,Ações na gaveta,Menu ⋮ e favoritos iguais à grade.,Gaveta visível.,Interações refletem na conta logada.,Favoritar na gaveta.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-008,Gaveta após a página,Carrossel editorial pode aparecer logo após o restante.,Página recém-aberta.,Filtros/grade primeiro; gaveta em seguida se houver itens.,Observar ordem de carregamento.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-009,Sem atalhos Em Cartaz/Populares,Curadoria por botões não existe; só selects.,Página Séries.,Apenas linha de filtros; nenhum botão **Populares**.,Confirmar ausência de atalhos.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-010,Ordem alfabética padrão,Listagem ordenada por nome da série.,Todos os filtros em “todos”.,Cards em ordem A–Z pelo título/nome exibido.,Ler primeiros cards.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-011,Ordenação por popularidade (catálogo),"Modo “populares” existe no catálogo interno, mas **não** há botão na tela.",—,Usuário comum só vê ordem alfabética nesta página.,Confirmar que não há controle de popularidade na UI.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-012,Gênero “Todos”,Sem restrição de gênero.,**Todos os Gêneros**.,Grade ampla.,Resetar gênero.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-013,Capitalização do gênero,Primeira letra maiúscula no dropdown.,Gêneros listados.,Label formatado (ex.: Action).,Abrir select de gênero.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-014,Ano “Todos”,Sem restrição de ano.,**Todos os Anos**.,Séries de vários anos.,Resetar ano.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-015,Filtro por ano de estreia,Ano limita à **data de estreia** da série (primeiro episódio / estreia).,Ano 2022.,Só séries estreadas em 2022.,Filtrar ano e conferir detalhe.
03-SERIES.md,"página **Séries** do site (listagem completa de séries, acessível pelo menu ou pelo título da faixa Séries na página inicial).",RN-SERIES-016,Filtro por mês de estreia,Mês limita estreias daquele mês.,Março selecionado.,Séries com estreia em março (com ano definido ou corrente).,Combinar mês + ano.
